#           k/h    P           
   0.304905E-01   0.197700E+05
   0.311064E-01   0.194461E+05
   0.317348E-01   0.191184E+05
   0.323759E-01   0.187877E+05
   0.330299E-01   0.184548E+05
   0.336972E-01   0.181206E+05
   0.343779E-01   0.177861E+05
   0.350724E-01   0.174521E+05
   0.357809E-01   0.171194E+05
   0.365038E-01   0.167890E+05
   0.372412E-01   0.164620E+05
   0.379935E-01   0.161392E+05
   0.387610E-01   0.158217E+05
   0.395440E-01   0.155103E+05
   0.403429E-01   0.152054E+05
   0.411579E-01   0.149076E+05
   0.419893E-01   0.146172E+05
   0.428375E-01   0.143347E+05
   0.437029E-01   0.140603E+05
   0.445858E-01   0.137951E+05
   0.454865E-01   0.135399E+05
   0.464053E-01   0.132955E+05
   0.473428E-01   0.130629E+05
   0.482992E-01   0.128423E+05
   0.492749E-01   0.126329E+05
   0.502703E-01   0.124336E+05
   0.512858E-01   0.122435E+05
   0.523219E-01   0.120617E+05
   0.533789E-01   0.118873E+05
   0.544572E-01   0.117194E+05
   0.555573E-01   0.115573E+05
   0.566796E-01   0.114001E+05
   0.578246E-01   0.112469E+05
   0.589927E-01   0.110966E+05
   0.601845E-01   0.109483E+05
   0.614003E-01   0.108008E+05
   0.626407E-01   0.106527E+05
   0.639061E-01   0.105022E+05
   0.651971E-01   0.103480E+05
   0.665142E-01   0.101882E+05
   0.678578E-01   0.100212E+05
   0.692287E-01   0.984505E+04
   0.706272E-01   0.965856E+04
   0.720539E-01   0.946070E+04
   0.735095E-01   0.925069E+04
   0.749945E-01   0.902850E+04
   0.765095E-01   0.879507E+04
   0.780551E-01   0.855151E+04
   0.796319E-01   0.829931E+04
   0.812406E-01   0.804034E+04
   0.828817E-01   0.777650E+04
   0.845561E-01   0.751021E+04
   0.862642E-01   0.724397E+04
   0.880068E-01   0.698019E+04
   0.897847E-01   0.672124E+04
   0.915985E-01   0.646931E+04
   0.934489E-01   0.622680E+04
   0.953367E-01   0.599598E+04
   0.972626E-01   0.577879E+04
   0.992274E-01   0.557702E+04
   0.101232E+00   0.539224E+04
   0.103277E+00   0.522538E+04
   0.105363E+00   0.507639E+04
   0.107492E+00   0.494501E+04
   0.109663E+00   0.482978E+04
   0.111879E+00   0.472843E+04
   0.114139E+00   0.463845E+04
   0.116445E+00   0.455641E+04
   0.118797E+00   0.447889E+04
   0.121197E+00   0.440233E+04
   0.123645E+00   0.432325E+04
   0.126143E+00   0.423863E+04
   0.128691E+00   0.414590E+04
   0.131291E+00   0.404329E+04
   0.133943E+00   0.392999E+04
   0.136649E+00   0.380605E+04
   0.139409E+00   0.367258E+04
   0.142226E+00   0.353142E+04
   0.145099E+00   0.338517E+04
   0.148030E+00   0.323701E+04
   0.151020E+00   0.309055E+04
   0.154071E+00   0.294974E+04
   0.157184E+00   0.281837E+04
   0.160359E+00   0.269955E+04
   0.163598E+00   0.259527E+04
   0.166903E+00   0.250585E+04
   0.170275E+00   0.243014E+04
   0.173715E+00   0.236587E+04
   0.177224E+00   0.231010E+04
   0.180804E+00   0.225962E+04
   0.184457E+00   0.221103E+04
   0.188183E+00   0.216075E+04
   0.191985E+00   0.210551E+04
   0.195863E+00   0.204290E+04
   0.199820E+00   0.197228E+04
   0.203856E+00   0.189481E+04
   0.207974E+00   0.181303E+04
   0.212176E+00   0.173020E+04
   0.216462E+00   0.164964E+04
   0.220835E+00   0.157438E+04
   0.225296E+00   0.150681E+04
   0.229847E+00   0.144817E+04
   0.234490E+00   0.139831E+04
   0.239227E+00   0.135576E+04
   0.244060E+00   0.131810E+04
   0.248990E+00   0.128235E+04
   0.254020E+00   0.124551E+04
   0.259152E+00   0.120534E+04
   0.264387E+00   0.116116E+04
   0.269728E+00   0.111380E+04
   0.275177E+00   0.106505E+04
   0.280736E+00   0.101701E+04
   0.286407E+00   0.971814E+03
   0.292193E+00   0.931195E+03
   0.298096E+00   0.895730E+03
   0.304118E+00   0.864606E+03
   0.310261E+00   0.836156E+03
   0.316529E+00   0.808596E+03
   0.322923E+00   0.780430E+03
   0.329447E+00   0.750785E+03
   0.336102E+00   0.719826E+03
   0.342892E+00   0.688705E+03
   0.349819E+00   0.658848E+03
   0.356885E+00   0.631225E+03
   0.364095E+00   0.606172E+03
   0.371450E+00   0.583406E+03
   0.378954E+00   0.562048E+03
   0.386609E+00   0.541044E+03
   0.394419E+00   0.519790E+03
   0.402387E+00   0.498340E+03
   0.410516E+00   0.477181E+03
   0.418809E+00   0.456943E+03
   0.427269E+00   0.438083E+03
